Cities,Cairo,Calcutta,Chicago,Lisbon,London,Manilla,Moscow,Paris,Rome,Sydney,Tokyo,Warsaw
Cairo,0,3539,6129,2363,2181,5704,1803,1995,1320,8952,5935,1630
Calcutta,3539,0,7980,5638,4947,2203,3321,4883,4482,5685,3194,4048
Chicago,6129,7980,0,3990,3950,8143,4974,4134,4808,9272,6299,4667
Lisbon,2363,5638,3990,0,985,7546,2427,904,1161,11302,6915,1715
London,2181,4947,3950,985,0,6672,1555,213,887,10564,5940,899
Manilla,5704,2203,8143,7546,6672,0,5131,6677,6457,3944,1866,5837
Moscow,1803,3321,4974,2427,1555,5131,0,1544,1474,9012,4647,715
Paris,1995,4883,4134,904,213,6677,1544,0,697,10544,6034,849
Rome,1320,4482,4808,1161,887,6457,1474,697,0,10136,6135,817
Sydney,8952,5685,9272,11302,10564,3944,9012,10544,10136,0,4866,9696
Tokyo,5935,3194,6299,6915,5940,1866,4647,6034,6135,4866,0,5249
Warsaw,1630,4048,4667,1715,899,5837,715,849,817,9696,5249,0
