Country,City,Location
Afghanistan,Herat,34°20'N 62°12'E
Afghanistan,Kabul,34°31'N 69°12'E
Algeria,Algiers,36°50'N 3°00'E
American Samoa,Pago Pago,14°16'S 170°43'W
Andorra,Andorra la Vella,42°30'N 1°30'E
Angola,Namibe,15°10'S 12°09'E
Anguilla,The Valley,18°13'N 63°03'W
Argentina,Buenos Aires,34°40'S 58°30'W
Argentina,Córdoba,31°32'S 64°21'W
Armenia,Yerevan,40°10'N 44°31'E
Aruba,Oranjestad,12°31'N 70°02'W
Australia,Adelaide,34°55'S 138°35'E
Australia,Alice Springs,23°42'S 133°53'E
Australia,Brisbane,27°28'S 153°02'E
Australia,Canberra,35°17'S 149°08'E
Australia,Coober Pedy,28°56'S 134°45'E
Australia,Darwin,12°28'S 130°50'E
Australia,Derby,17°19'S 123°38'E
Australia,Newman,23°20'S 119°34'E
Australia,Perth,31°56'S 115°50'E
Australia,Townsville,19°13'S 146°48'E
Austria,Vienna,48°12'N 16°22'E
